unit_id,facility_code,equipment_type,manufacturer,model,year_installed,capacity_m3_hr,last_major_overhaul,running_hours_total,running_hours_since_overhaul,next_scheduled_maintenance,condition_score,bowl_radius_m
PIR-DSC-001,PIR,3-Phase Disc Stack Centrifuge,Alfa Laval,AFPX 614,2016,25.0,2022-03-15,42000,8200,2026-09-01,7.8,0.310
PIR-DSC-002,PIR,3-Phase Disc Stack Centrifuge,GEA Westfalia,OSE 80-01-067,2018,30.0,2023-06-20,32000,7400,2026-12-01,8.2,0.340
PIR-DSC-003,PIR,3-Phase Disc Stack Centrifuge,Alfa Laval,S816,2021,35.0,2024-01-10,18000,5200,2027-01-15,9.1,0.370
PIR-DEC-001,PIR,Decanter Centrifuge,Flottweg,Z6E-4/441,2015,40.0,2021-11-05,52000,9800,2026-11-05,7.2,0.395
PIR-DEC-002,PIR,Decanter Centrifuge,GEA Westfalia,CA 520-2,2019,45.0,2023-09-12,28000,6100,2026-09-12,8.5,0.420
PIR-DEC-003,PIR,Decanter Centrifuge,Andritz,D6L-H,2022,50.0,2024-04-18,14000,4400,2027-04-18,9.3,0.430
PIR-GRV-001,PIR,Gravity Separator,Alfa Laval,AlfaVap 1000,2014,80.0,2021-07-22,58000,11200,2026-07-22,6.8,
PIR-GRV-002,PIR,Gravity Separator,GEA Westfalia,GS 410,2017,60.0,2022-11-30,38000,8600,2026-11-30,7.6,
PIR-PLS-001,PIR,Plate Separator,Alfa Laval,MR510,2018,20.0,2023-02-14,30000,7200,2026-08-14,8.0,
PIR-PLS-002,PIR,Plate Separator,GEA Westfalia,PL 450,2020,22.0,2023-12-01,22000,5800,2026-12-01,8.7,
PIR-DAF-001,PIR,DAF Unit,GEA Westfalia,FloDaf 300,2016,55.0,2022-05-10,40000,9000,2026-11-10,7.5,
PIR-DAF-002,PIR,DAF Unit,Andritz,HydroFloat 400,2020,65.0,2024-02-28,20000,5000,2027-02-28,8.9,
PIR-HTG-001,PIR,Heating Unit,Alfa Laval,AQUA 800,2015,120.0,2021-09-15,50000,10500,2026-09-15,7.0,
PIR-HTG-002,PIR,Heating Unit,GEA Westfalia,HEX 400,2019,100.0,2023-07-01,26000,5600,2026-07-01,8.4,
PIR-DSC-004,PIR,3-Phase Disc Stack Centrifuge,Pieralisi,GIANT 4,2023,28.0,2024-06-15,8000,3200,2027-06-15,9.5,0.330
HAM-DSC-001,HAM,3-Phase Disc Stack Centrifuge,GEA Westfalia,OSE 40-01-067,2015,22.0,2021-10-08,48000,10200,2026-10-08,7.1,0.285
HAM-DSC-002,HAM,3-Phase Disc Stack Centrifuge,Alfa Laval,AFPX 510,2018,24.0,2023-03-25,31000,6800,2026-09-25,8.1,0.295
